"receiver_player_id","receiver_player_name","posteam","targets","receptions","rec_yards","rec_tds","epa_per_target","yards_per_reception","first_downs","catch_rate","yards_per_target","team_color"
"00-0039361","B.Irving","TB",35,30,277,3,0.251782176977888,7.91428571428571,11,0.857142857142857,7.91428571428571,"#A71930"
"00-0034844","S.Barkley","PHI",51,37,273,2,-0.0974765224601964,5.35294117647059,11,0.725490196078431,5.35294117647059,"#004C54"
"00-0039337","M.Nabers","NYG",35,18,271,2,0.065968243600837,7.74285714285714,11,0.514285714285714,7.74285714285714,"#0B2265"
"00-0040162","D.Sampson","CLE",40,33,271,2,0.172482841496094,6.775,9,0.825,6.775,"#FF3C00"
"00-0038979","C.Tillman","CLE",39,21,270,2,0.167367873885888,6.92307692307692,13,0.538461538461538,6.92307692307692,"#FF3C00"
"00-0036924","M.Carter","ARI",45,33,267,0,0.0412208774180097,5.93333333333333,12,0.733333333333333,5.93333333333333,"#97233F"
"00-0039032","T.Spears","TEN",50,45,264,0,-0.0328892442743884,5.28,10,0.9,5.28,"#002244"
"00-0037741","J.Dotson","PHI",36,18,262,1,-0.418257420581912,7.27777777777778,10,0.5,7.27777777777778,"#004C54"
"00-0037614","J.Metchie","NYJ",44,29,256,2,-0.0547560355084282,5.81818181818182,13,0.659090909090909,5.81818181818182,"#003F2D"
"00-0039144","L.Musgrave","GB",31,24,252,0,0.327069985466228,8.12903225806452,11,0.774193548387097,8.12903225806452,"#203731"
"00-0037005","T.Tremble","CAR",37,27,249,2,0.222948539359559,6.72972972972973,10,0.72972972972973,6.72972972972973,"#0085CA"
"00-0034775","C.Kirk","HOU",53,28,239,1,-0.399394855629488,4.50943396226415,12,0.528301886792453,4.50943396226415,"#03202F"
"00-0035537","Ty.Johnson","BUF",33,24,231,2,0.346954060238645,7,12,0.727272727272727,7,"#00338D"
"00-0036626","D.Brown","JAX",37,20,227,1,-0.0563221673130928,6.13513513513514,14,0.540540540540541,6.13513513513514,"#006778"
"00-0036550","R.Bateman","BAL",39,19,226,2,-0.0429681983184013,5.74358974358974,12,0.487179487179487,5.79487179487179,"#241773"
"00-0040164","J.Lane","WAS",32,16,225,0,-0.1766152448646,7.03125,10,0.5,7.03125,"#5A1414"
